Latitude: 22.312 Longitude: 114.17
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0     36                                                               
  996.6     66   27.4   25.8     91  21.46      0    0.0  300.8  364.3  304.7
  954.0    453   24.5   24.5    100  20.76    230    5.0  301.7  363.3  305.5
  944.6    540   24.1   24.0    100  20.28    231    7.3  302.1  362.3  305.7
  925.0    725   23.4   23.1     98  19.57    240    5.9  303.2  361.6  306.7
  886.6   1096   21.2   21.2    100  18.18    250    6.4  304.7  359.2  308.0
  855.6   1405   20.0   20.0    100  17.49    235    7.4  306.5  359.4  309.7
  850.0   1462   19.8   19.8    100  17.40    244    6.6  306.9  359.6  310.1
  842.6   1538   19.0   18.9    100  16.51    258    6.5  306.7  356.7  309.8
  840.5   1559   18.9   18.5     98  16.20    260    6.6  306.9  355.9  309.9
  825.4   1716   18.9   16.8     87  14.71    248    5.8  308.5  353.3  311.2
  800.7   1977   18.7   14.9     78  13.39    267    8.2  311.0  352.3  313.5
  792.2   2069   18.3   15.7     85  14.35    274    7.9  311.5  355.8  314.2
  791.2   2080   18.2   15.5     84  14.14    275    7.9  311.6  355.2  314.2
  739.5   2658   15.2   12.5     84  12.38    268   10.4  314.3  353.0  316.6
  703.4   3082   12.9   10.5     86  11.46    264    9.7  316.2  352.4  318.4
  700.0   3122   12.7   10.0     83  11.07    265    9.5  316.5  351.5  318.6
  629.1   4012    7.2    6.5     95   9.69    273    8.3  320.1  351.2  322.0
  625.9   4055    6.9    6.0     94   9.44    275    8.4  320.2  350.6  322.0
  614.1   4211    7.2    3.6     78   8.11    291    9.4  322.2  348.6  323.8
  607.8   4297    6.6    3.3     80   8.03    299    8.9  322.5  348.7  324.1
  599.3   4412    6.3    2.9     79   7.90    296    8.2  323.4  349.3  325.0
  580.8   4670    4.7    2.1     83   7.72    287    9.2  324.5  350.0  326.0
  539.1   5274    0.5    0.5    100   7.41    301    7.1  326.5  351.1  328.0
  521.0   5547   -0.7   -0.7    100   7.00    295    7.5  328.2  351.7  329.6
  500.0   5876   -2.5   -2.5    100   6.38    312    6.9  329.9  351.4  331.2
  483.9   6135   -3.7   -3.8     99   5.97    317    7.2  331.6  351.9  332.8
  474.3   6295   -4.8   -5.0     99   5.58    335    8.5  332.0  351.1  333.2
  458.2   6565   -6.4   -8.0     89   4.59    357    8.9  333.3  349.3  334.3
  449.0   6723   -7.7  -11.1     77   3.67      2   10.5  333.7  346.6  334.4
  424.2   7164   -9.8  -14.9     66   2.84      3   11.8  336.4  346.6  337.0
  407.2   7480  -11.0  -16.9     61   2.50     25    8.0  338.9  348.0  339.4
  400.0   7616  -11.5  -17.0     64   2.54     22   11.1  340.0  349.3  340.5
  394.6   7721  -12.1  -19.0     57   2.17     18   12.2  340.5  348.5  340.9
  387.4   7861  -13.1  -16.5     75   2.73     20    8.9  341.0  351.0  341.6
  383.9   7930  -12.9  -15.5     81   2.98     19    7.7  342.1  353.0  342.7
  359.9   8420  -16.3  -17.2     92   2.76     37    6.1  344.0  354.2  344.6
  349.0   8651  -17.7  -18.6     92   2.53     39    5.1  345.1  354.5  345.6
  344.8   8741  -18.2  -19.1     93   2.46     51    4.1  345.5  354.7  346.1
  320.2   9291  -21.6  -23.0     89   1.88     15    5.0  348.2  355.4  348.6
  303.1   9694  -24.2  -27.4     75   1.34     30    7.6  350.2  355.4  350.5
  301.3   9738  -24.4  -27.9     73   1.29     29    7.8  350.4  355.4  350.7
  300.0   9768  -24.7  -28.3     72   1.24     27    8.2  350.5  355.3  350.7
  268.4  10568  -31.3  -34.0     77   0.81     22   10.4  352.1  355.4  352.3
  256.2  10894  -34.0  -35.2     88   0.75     35    8.4  352.9  355.9  353.1
  252.3  11003  -34.5  -37.8     72   0.58     41    8.0  353.7  356.1  353.9
  250.0  11066  -35.0  -37.8     76   0.59     40    6.1  353.8  356.3  353.9
  245.7  11188  -36.2  -38.3     80   0.57     45    3.3  353.9  356.2  354.0
  242.9  11265  -36.8  -38.7     83   0.56     54    3.8  354.0  356.3  354.2
  212.0  12193  -44.6  -47.9     69   0.24     56    5.1  356.0  357.1  356.1
  200.0  12580  -48.0  -51.4     68   0.17     62    3.9  356.6  357.3  356.6
  196.9  12682  -48.9  -52.8     64   0.15     61    4.6  356.7  357.4  356.8
  158.1  14083  -60.9  -66.4     48   0.03    161    5.0  359.5  359.6  359.5
  150.0  14409  -63.8  -68.6     52   0.02    169    3.8  360.0  360.1  360.0
  147.3  14521  -64.8  -69.4     53   0.02    178    2.8  360.1  360.2  360.1
  139.4  14852  -67.8  -73.7     42   0.01    291    0.1  360.6  360.7  360.6
  131.3  15210  -71.1  -77.7     37   0.01      9    2.0  360.8  360.8  360.8
  117.8  15844  -76.0  -83.5     30   0.00    346    5.1  363.3  363.3  363.3
  117.4  15865  -76.0  -83.5     30   0.00    348    5.7  363.6  363.6  363.6
  113.2  16071  -77.3  -83.5     37   0.00    351    6.1  364.9  365.0  364.9
  107.7  16359  -79.9  -84.3     48   0.00     50    6.1  365.3  365.3  365.3
  100.0  16774  -82.6  -86.4     52   0.00     39    7.6  367.9  367.9  367.9
